customer_id,churned,churn_date,churn_reason
CUST000001,False,,
CUST000002,False,,
CUST000003,True,2026-04-20,Too expensive
CUST000004,False,,
CUST000005,False,,
CUST000006,False,,
CUST000007,True,2026-05-05,Password sharing crackdown
CUST000008,False,,
CUST000009,False,,
CUST000010,False,,
CUST000011,False,,
CUST000012,False,,
CUST000013,False,,
CUST000014,True,2026-01-31,Too expensive
CUST000015,False,,
CUST000016,False,,
CUST000017,False,,
CUST000018,False,,
CUST000019,False,,
CUST000020,False,,
CUST000021,False,,
CUST000022,False,,
CUST000023,True,2026-06-05,No longer needed
CUST000024,False,,
CUST000025,True,2026-05-09,Too expensive
CUST000026,False,,
CUST000027,False,,
CUST000028,True,2025-11-08,Content quality decline
CUST000029,True,2025-10-07,Payment issues
CUST000030,False,,
CUST000031,False,,
CUST000032,True,2026-01-22,Poor customer service experience
CUST000033,True,2025-11-19,Household budget cuts
CUST000034,False,,
CUST000035,False,,
CUST000036,False,,
CUST000037,False,,
CUST000038,False,,
CUST000039,True,2026-01-28,Poor customer service experience
CUST000040,False,,
CUST000041,False,,
CUST000042,False,,
CUST000043,False,,
CUST000044,True,2026-02-06,Household budget cuts
CUST000045,False,,
CUST000046,True,2026-04-21,Household budget cuts
CUST000047,False,,
CUST000048,False,,
CUST000049,False,,
CUST000050,False,,
CUST000051,False,,
CUST000052,False,,
CUST000053,True,2025-10-30,Content quality decline
CUST000054,False,,
CUST000055,True,2026-01-31,Technical issues
CUST000056,False,,
CUST000057,True,2025-10-16,Too expensive
CUST000058,False,,
CUST000059,True,2025-12-05,Found alternative platform
CUST000060,False,,
CUST000061,False,,
CUST000062,False,,
CUST000063,False,,
CUST000064,False,,
CUST000065,True,2026-02-25,Poor customer service experience
CUST000066,True,2026-06-09,Content quality decline
CUST000067,True,2025-11-07,Household budget cuts
CUST000068,True,2026-04-29,Technical issues
CUST000069,False,,
CUST000070,False,,
CUST000071,False,,
CUST000072,False,,
CUST000073,False,,
CUST000074,True,2025-12-20,Not enough content
CUST000075,False,,
CUST000076,False,,
CUST000077,False,,
CUST000078,False,,
CUST000079,False,,
CUST000080,False,,
CUST000081,True,2025-12-17,Found alternative platform
CUST000082,True,2025-10-16,Not enough content
CUST000083,False,,
CUST000084,False,,
CUST000085,False,,
CUST000086,False,,
CUST000087,False,,
CUST000088,False,,
CUST000089,False,,
CUST000090,False,,
CUST000091,False,,
CUST000092,True,2026-03-01,Too expensive
CUST000093,True,2026-01-20,No longer needed
CUST000094,False,,
CUST000095,False,,
CUST000096,True,2025-10-23,Password sharing crackdown
CUST000097,False,,
CUST000098,False,,
